기준_년분기_코드,자치구_코드,총_유동인구_수,월_평균_소득_금액,지출_총금액,운영_영업_개월_평균,폐업_영업_개월_평균,집객시설_수,점포_수,폐업_점포_수,공시지가
20243,11320,62227967,2785111,18472546000.0,105,50,1432,11792,396,2390374
20243,11305,91978076,2547460,21923564000.0,104,48,1843,13199,434,2642841
20243,11290,115541372,3281773,29255603000.0,104,53,2380,17449,561,3190132
20243,11260,92572434,2598785,24488372000.0,102,49,1840,16862,612,2983133
20243,11230,102087421,3030256,32329332000.0,116,53,1987,20569,576,3783838
20243,11215,90112231,3192971,34659666000.0,103,51,1602,19120,631,4371127
20243,11200,72164706,3734499,34121909000.0,104,54,1693,19443,567,4884766
20243,11170,58581054,3971498,96311255000.0,112,57,1504,18881,540,6812532
20243,11140,56925213,3513603,1020000000000.0,126,62,2071,37794,937,9949269
20243,11110,65170668,3725859,76268855000.0,130,62,2058,23666,538,5937878
20242,11740,105852073,3292857,158000000000.0,100,49,2063,22498,818,4136539
20242,11710,120002856,3995905,378000000000.0,106,50,2810,40786,1242,5971945
20242,11680,143850163,4943841,2700000000000.0,99,48,4084,60159,1710,11922941
20242,11650,96894498,4912401,620000000000.0,112,54,2779,39447,980,7218511
20242,11620,126560305,2771927,121000000000.0,98,49,2255,20423,832,3986627
20242,11590,81988903,3454170,184000000000.0,110,55,1934,15827,531,4280654
20242,11560,107613994,3604887,264000000000.0,108,52,2400,28139,861,4503093
20242,11545,35396760,2632285,74531440000.0,103,51,1320,18098,551,2930902
20242,11530,78481576,2994059,1610000000000.0,111,51,2192,23825,743,2900773
20242,11500,112518934,3160623,231000000000.0,89,48,2714,29438,1097,2847634
20242,11470,77140378,3796034,110000000000.0,103,49,1762,18965,644,3399776
20242,11440,115154071,3832436,1210000000000.0,89,48,2232,30514,1038,6174009
20242,11410,94677160,3417706,117000000000.0,105,53,1909,14326,542,3771586
20242,11380,97642667,2912739,92705118000.0,100,51,2144,19049,680,3166812
20242,11350,94293306,3195375,128000000000.0,99,50,2586,19243,705,2559028
20242,11320,61564115,2785111,52531543000.0,103,50,1432,11868,357,2390374
20242,11305,93656261,2547460,62313292000.0,102,48,1843,13299,538,2642841
20242,11290,119610897,3281773,87219766000.0,102,53,2380,17598,578,3190132
20242,11260,93747281,2598785,69386912000.0,100,49,1840,17031,564,2983133
20242,11230,106517526,3030256,93548964000.0,115,53,1987,20667,629,3783838
20242,11215,92118931,3192971,101000000000.0,101,51,1602,19241,654,4371127
20242,11200,73792488,3734499,94895025000.0,102,54,1693,19544,545,4884766
20242,11170,59713443,3971498,263000000000.0,111,57,1504,19023,519,6812532
20242,11140,59244434,3513603,2720000000000.0,124,62,2071,38190,791,9949269
20242,11110,68281097,3725859,218000000000.0,128,62,2058,23714,560,5937878
20241,11740,108851671,3292857,47972732000.0,98,48,2063,22702,977,4136539
20241,11710,124044949,3995905,122000000000.0,104,50,2810,41053,1510,5971945
20241,11680,144673730,4943841,892000000000.0,98,48,4084,60354,2068,11922941
20241,11650,96950096,4912401,211000000000.0,111,53,2779,39651,1122,7218511
20241,11620,129617251,2771927,39101249000.0,96,49,2255,20620,911,3986627
20241,11590,82698133,3454170,57055275000.0,108,55,1934,15932,538,4280654
20241,11560,110850420,3604887,87836688000.0,106,52,2400,28292,925,4503093
20241,11545,36794973,2632285,24507608000.0,101,51,1320,18209,652,2930902
20241,11530,80975809,2994059,509000000000.0,109,51,2192,23985,842,2900773
20241,11500,116166586,3160623,69565836000.0,88,48,2714,29611,1317,2847634
20241,11470,79543116,3796034,34765680000.0,101,49,1762,19096,783,3399776
20241,11440,116341575,3832436,361000000000.0,87,48,2232,30581,1176,6174009
20241,11410,95331114,3417706,36399135000.0,103,53,1909,14448,568,3771586
20241,11380,99894420,2912739,28609594000.0,98,51,2144,19202,802,3166812
20241,11350,96744301,3195375,40263858000.0,97,50,2586,19414,911,2559028
20241,11320,63874164,2785111,16621346000.0,102,50,1432,11925,406,2390374
20241,11305,95668304,2547460,19328632000.0,101,48,1843,13407,588,2642841
20241,11290,119590078,3281773,27760719000.0,101,53,2380,17684,719,3190132
20241,11260,97869230,2598785,21661682000.0,99,49,1840,17081,628,2983133
20241,11230,104940346,3030256,29627951000.0,113,53,1987,20772,668,3783838
20241,11215,93274090,3192971,32022178000.0,99,51,1602,19353,788,4371127
20241,11200,74772056,3734499,28717141000.0,101,54,1693,19523,605,4884766
20241,11170,62142113,3971498,83236164000.0,109,56,1504,19112,566,6812532
20241,11140,59082215,3513603,875000000000.0,123,62,2071,38358,1069,9949269
20241,11110,66649984,3725859,71769697000.0,127,62,2058,23768,596,5937878
20234,11740,107182679,3292857,158000000000.0,97,48,2063,22910,711,4084605
20234,11710,122054903,3995905,218000000000.0,103,50,2810,41403,1154,5933125
20234,11680,142841188,4943841,2770000000000.0,96,48,4084,60822,1602,11681749
20234,11650,96389408,4912401,619000000000.0,109,53,2779,39787,896,7067357
20234,11620,128331304,2771927,119000000000.0,95,49,2255,20728,688,3962450
20234,11590,81971608,3454170,187000000000.0,107,55,1934,15986,456,4230619
20234,11560,110261973,3604887,235000000000.0,105,52,2400,28417,830,4415996
20234,11545,36226369,2632285,78078605000.0,99,50,1320,18402,482,2913506
20234,11530,79774854,2994059,1490000000000.0,108,51,2192,24177,644,2889484
20234,11500,114009197,3160623,222000000000.0,86,48,2714,29802,1010,2814701
20234,11470,77616778,3796034,108000000000.0,100,49,1762,19248,651,3379104
20234,11440,115857141,3832436,1180000000000.0,86,48,2232,30668,917,6119988
20234,11410,96533352,3417706,116000000000.0,102,52,1909,14551,431,3755550
20234,11380,99442931,2912739,89940612000.0,96,51,2144,19386,628,3162188
20234,11350,96648244,3195375,126000000000.0,97,50,2586,19639,563,2548603
20234,11320,63548031,2785111,51244862000.0,101,49,1432,11964,371,2353941
20234,11305,95197227,2547460,61065166000.0,100,48,1843,13557,451,2621864
20234,11290,120888135,3281773,83882917000.0,100,52,2380,17840,538,3168400
20234,11260,97500881,2598785,67373876000.0,98,48,1840,17085,551,2963517
20234,11230,107548397,3030256,92602895000.0,112,53,1987,20849,499,3750023
20234,11215,93233642,3192971,98924305000.0,98,50,1602,19460,575,4364133
